WARNING 2022-07-05 21:50:46,385 basehttp 154 "GET /imagecode/?uuid=1489e228-baf1-4a51-b217-ff62fbc90f51 HTTP/1.1" 404 2182
INFO 2022-07-05 21:50:49,292 basehttp 154 "GET /register/ HTTP/1.1" 200 5319
WARNING 2022-07-05 21:50:49,315 log 228 Not Found: /imagecode/
WARNING 2022-07-05 21:50:49,316 basehttp 154 "GET /imagecode/?uuid=c0a10752-7589-4f7d-8f62-7e7244da7cca HTTP/1.1" 404 2182
WARNING 2022-07-05 21:50:56,978 log 228 Not Found: /imagecode/
WARNING 2022-07-05 21:50:56,978 basehttp 154 "GET /imagecode/?uuid=8ae1b2f9-8a3e-4cbd-94fd-c8ced6ee3af3 HTTP/1.1" 404 2182
INFO 2022-07-05 21:51:15,860 basehttp 154 "GET /register/ HTTP/1.1" 200 5319
WARNING 2022-07-05 21:51:15,883 log 228 Not Found: /imagecode/
WARNING 2022-07-05 21:51:15,883 basehttp 154 "GET /imagecode/?uuid=3bbad304-ee37-4a10-a717-543d1b26ae2f HTTP/1.1" 404 2182
INFO 2022-07-06 10:32:30,694 basehttp 154 "GET /static/detail.html HTTP/1.1" 200 8816
INFO 2022-07-06 10:32:30,718 basehttp 154 "GET /static/prism/prism.css HTTP/1.1" 200 4033
INFO 2022-07-06 10:32:30,718 basehttp 154 "GET /static/common/common.css HTTP/1.1" 200 381
INFO 2022-07-06 10:32:30,718 basehttp 154 "GET /static/common/jquery.pagination.css HTTP/1.1" 200 523
INFO 2022-07-06 10:32:30,719 basehttp 154 "GET /static/ckeditor/ckeditor-init.js HTTP/1.1" 200 2039
INFO 2022-07-06 10:32:30,720 basehttp 154 "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140942
INFO 2022-07-06 10:32:30,720 basehttp 154 "GET /static/ckeditor/ckeditor/plugins/prism/lib/prism/prism_patched.min.js HTTP/1.1" 200 99487
INFO 2022-07-06 10:32:30,722 basehttp 154 "GET /static/js/detail.js HTTP/1.1" 200 1294
INFO 2022-07-06 10:32:30,724 basehttp 154 "GET /static/ckeditor/ckeditor/ckeditor.js HTTP/1.1" 200 690627
INFO 2022-07-06 10:32:30,828 basehttp 154 "GET /static/ckeditor/ckeditor/config.js?t=I3I8 HTTP/1.1" 200 338
INFO 2022-07-06 10:32:30,836 basehttp 154 "GET /static/ckeditor/ckeditor/lang/en.js?t=I3I8 HTTP/1.1" 200 19035
INFO 2022-07-06 10:32:30,836 basehttp 154 "GET /static/ckeditor/ckeditor/skins/moono-lisa/editor.css?t=I3I8 HTTP/1.1" 200 46921
INFO 2022-07-06 10:32:30,840 basehttp 154 "GET /static/ckeditor/ckeditor/styles.js?t=I3I8 HTTP/1.1" 200 5583
INFO 2022-07-06 10:32:30,845 basehttp 154 "GET /static/ckeditor/ckeditor/plugins/prism/plugin.js?t=I3I8 HTTP/1.1" 200 4333
INFO 2022-07-06 10:32:30,845 basehttp 154 "GET /static/ckeditor/ckeditor/plugins/codesnippet/plugin.js?t=I3I8 HTTP/1.1" 200 3824
INFO 2022-07-06 10:32:30,851 basehttp 154 "GET /static/ckeditor/ckeditor/plugins/scayt/skins/moono-lisa/scayt.css HTTP/1.1" 200 381
INFO 2022-07-06 10:32:30,852 basehttp 154 "GET /static/ckeditor/ckeditor/plugins/tableselection/styles/tableselection.css HTTP/1.1" 200 1082
INFO 2022-07-06 10:32:30,852 basehttp 154 "GET /static/ckeditor/ckeditor/plugins/wsc/skins/moono-lisa/wsc.css HTTP/1.1" 200 1306
INFO 2022-07-06 10:32:30,852 basehttp 154 "GET /static/ckeditor/ckeditor/plugins/scayt/dialogs/dialog.css HTTP/1.1" 200 419
INFO 2022-07-06 10:32:30,852 basehttp 154 "GET /static/ckeditor/ckeditor/plugins/codesnippet/lang/en.js?t=I3I8 HTTP/1.1" 200 369
INFO 2022-07-06 10:32:30,859 basehttp 154 "GET /static/ckeditor/ckeditor/plugins/copyformatting/styles/copyformatting.css HTTP/1.1" 200 1513
INFO 2022-07-06 10:32:30,875 basehttp 154 "GET /static/ckeditor/ckeditor/plugins/codesnippet/icons/codesnippet.png?t=I3I8 HTTP/1.1" 200 597
INFO 2022-07-06 10:32:30,875 basehttp 154 "GET /static/ckeditor/ckeditor/skins/moono-lisa/icons.png?t=95e5d83 HTTP/1.1" 200 12421
INFO 2022-07-06 10:32:30,892 basehttp 154 "GET /static/ckeditor/ckeditor/plugins/prism/lib/prism/prism_patched.min.css HTTP/1.1" 200 2063
INFO 2022-07-06 10:32:30,893 basehttp 154 "GET /static/ckeditor/ckeditor/contents.css?t=I3I8 HTTP/1.1" 200 2954
INFO 2022-07-06 16:46:02,394 autoreload 203 C:\Users\admin\Desktop\blog\blog\users\models.py changed, reloading.
INFO 2022-07-06 16:46:03,449 autoreload 578 Watching for file changes with StatReloader
